# Timestamp,Type of mobile,MMSI,Latitude,Longitude,Navigational status,ROT,SOG,COG,Heading,IMO,Callsign,Name,Ship type,Cargo type,Width,Length,Type of position fixing device,Draught,Destination,ETA,Data source type,A,B,C,D
01/11/2018 00:00:00,Class A,249127000,56.799858,7.467308,Under way using engine,0.0,0.1,224.3,231,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,219536000,56.004475,8.122013,Engaged in fishing,0.0,0.0,199.3,241,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,244615184,56.895972,7.890173,Under way using engine,,11.5,27.4,29,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,431262000,57.679922,11.346048,Under way using engine,0.4,15.7,310.6,307,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,258216000,57.592660,9.958100,Engaged in fishing,0.0,0.0,221.3,193,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,219002176,54.933375,10.832558,Under way using engine,,0.1,255.9,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,253476000,54.596270,13.430452,Restricted maneuverability,40.2,1.1,105.4,106,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,265504660,55.613743,12.997395,Under way using engine,0.0,0.0,0.0,334,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,245176000,54.583568,10.831988,Under way using engine,0.0,10.3,264.2,262,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,249581000,58.469333,10.883667,Under way using engine,-2.9,10.8,345.4,342,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,538005553,54.818773,13.141057,Under way using engine,0.0,12.0,70.2,70,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Base Station,2655140,56.053328,12.708212,Unknown value,,,,,Unknown,,,Undefined,,,,Surveyed,,,,AIS,,,,
01/11/2018 00:00:00,Class A,219004308,56.005138,8.122273,Unknown value,0.0,0.1,335.7,244,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,265797590,55.867207,12.810093,Under way using engine,0.0,19.2,93.0,86,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,230643000,55.952692,16.187335,Under way using engine,0.0,20.2,238.4,237,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,219997000,55.057973,10.615532,Moored,0.0,0.0,188.5,165,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,645309000,54.392315,13.873702,Under way using engine,0.0,11.9,313.5,315,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,236039000,54.473950,10.288050,Under way using engine,0.0,9.9,39.2,41,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class B,219006387,55.695383,12.612160,Unknown value,,0.0,0.0,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,211223120,54.313183,10.133350,Moored,0.0,0.0,286.0,286,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,212748000,55.640375,15.437215,Under way using engine,-1.1,14.5,60.0,62,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,219001695,55.343542,8.399998,Engaged in fishing,0.0,3.1,1.3,4,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,311045200,54.222013,11.596218,Under way using engine,0.0,9.6,216.8,210,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,246694000,57.436935,11.419953,Under way using engine,6.4,12.5,160.3,162,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,219005901,56.368343,8.121427,Under way using engine,,0.0,155.0,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class B,219021419,55.491685,9.727180,Unknown value,,0.0,262.2,262,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,231800000,55.640817,15.611267,Under way using engine,0.0,7.5,53.3,57,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,538005239,91.000000,181.000000,Moored,,,,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,219005995,57.596760,9.857858,Engaged in fishing,,5.7,292.0,290,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Base Station,2190066,56.530067,8.166947,Unknown value,,,,,Unknown,,,Undefined,,,,GPS,,,,AIS,,,,
01/11/2018 00:00:00,Class A,219022047,55.473207,8.423095,Under way using engine,1.1,0.0,123.9,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,219001182,55.822553,10.063915,Under way using engine,0.0,0.0,271.2,271,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,211720660,54.797853,14.124788,Under way using engine,,11.2,31.2,31,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Class A,220375000,56.408590,10.923638,Engaged in fishing,,0.0,251.9,,Unknown,,,Undefined,,,,Undefined,,,,AIS,,,,
01/11/2018 00:00:00,Base Station,2655146,56.789980,12.937965,Unknown value,,,,,Unknown,,,Undefined,,,,Surveyed,,,,AIS,,,,
